,Date,Open,High,Low,Close,Adj Close,Volume,Name
0,2018-10-19,25172.029297,25743.449219,25090.300781,25561.400391,25561.400391,2037871700.0,HANG SENG
1,2018-10-22,25668.330078,26234.859375,25668.330078,26153.150391,26153.150391,2222812200.0,HANG SENG
2,2018-10-23,26015.490234,26015.490234,25315.759766,25346.550781,25346.550781,1772912000.0,HANG SENG
3,2018-10-24,25401.169922,25653.359375,25194.289063,25249.779297,25249.779297,1962753500.0,HANG SENG
4,2018-10-25,24766.720703,24994.460938,24653.789063,24994.460938,24994.460938,2288634200.0,HANG SENG
5,2018-10-26,25031.490234,25062.199219,24589.039063,24717.630859,24717.630859,1688395600.0,HANG SENG
6,2018-10-29,24955.789063,24955.789063,24594.740234,24812.039063,24812.039063,2000985900.0,HANG SENG
7,2018-10-30,24765.119141,24939.179688,24540.630859,24585.529297,24585.529297,2100387500.0,HANG SENG
8,2018-10-31,24752.830078,24979.689453,24700.109375,24979.689453,24979.689453,2363084500.0,HANG SENG
9,2018-11-01,25228.75,25535.119141,25190.900391,25416.0,25416.0,2176972600.0,HANG SENG
10,2018-11-02,25980.439453,26486.349609,25909.710938,26486.349609,26486.349609,3518978800.0,HANG SENG
11,2018-11-05,26050.339844,26146.810547,25747.519531,25934.390625,25934.390625,1626675400.0,HANG SENG
12,2018-11-06,26062.240234,26159.830078,25826.689453,26120.960938,26120.960938,1562913100.0,HANG SENG
13,2018-11-07,26125.089844,26530.869141,25920.720703,26147.689453,26147.689453,1731287400.0,HANG SENG
14,2018-11-08,26491.269531,26491.269531,26141.25,26227.720703,26227.720703,1654626400.0,HANG SENG
15,2018-11-09,25925.089844,25925.089844,25475.320313,25601.919922,25601.919922,1839798600.0,HANG SENG
16,2018-11-12,25576.279297,25765.960938,25505.330078,25633.179688,25633.179688,1171178800.0,HANG SENG
17,2018-11-13,25092.300781,25792.869141,25092.300781,25792.869141,25792.869141,1689989400.0,HANG SENG
18,2018-11-14,25874.359375,25874.359375,25489.859375,25654.429688,25654.429688,1431673200.0,HANG SENG
19,2018-11-15,25862.179688,26127.140625,25611.720703,26103.339844,26103.339844,1534457400.0,HANG SENG
20,2018-11-16,26041.560547,26197.310547,25850.039063,26183.529297,26183.529297,1330024100.0,HANG SENG
21,2018-11-19,26278.869141,26397.390625,26146.390625,26372.0,26372.0,1320040400.0,HANG SENG
22,2018-11-20,26043.509766,26132.289063,25776.220703,25840.339844,25840.339844,1205800000.0,HANG SENG
23,2018-11-21,25496.849609,25998.279297,25494.509766,25971.470703,25971.470703,1397423500.0,HANG SENG
24,2018-11-22,26139.390625,26139.390625,25873.380859,26019.410156,26019.410156,1010983600.0,HANG SENG
25,2018-11-23,25950.070313,25983.25,25807.259766,25927.679688,25927.679688,877061500.0,HANG SENG
26,2018-11-26,26099.349609,26413.759766,26031.900391,26376.179688,26376.179688,1611982200.0,HANG SENG
27,2018-11-27,26345.369141,26417.839844,26158.970703,26331.960938,26331.960938,1394358800.0,HANG SENG
28,2018-11-28,26406.679688,26705.300781,26332.660156,26682.560547,26682.560547,1415273800.0,HANG SENG
29,2018-11-29,26904.210938,26923.330078,26399.810547,26451.029297,26451.029297,1469593600.0,HANG SENG
30,2018-11-30,26506.089844,26683.25,26396.619141,26506.75,26506.75,2000815900.0,HANG SENG
31,2018-12-03,27185.660156,27259.429688,27006.830078,27182.039063,27182.039063,2549703200.0,HANG SENG
32,2018-12-04,27119.189453,27260.439453,26984.710938,27260.439453,27260.439453,1880483300.0,HANG SENG
33,2018-12-05,26745.689453,26914.869141,26745.689453,26819.679688,26819.679688,1330919400.0,HANG SENG
34,2018-12-06,26349.419922,26381.119141,26016.089844,26156.380859,26156.380859,2123180600.0,HANG SENG
35,2018-12-07,26249.810547,26280.660156,26055.779297,26063.759766,26063.759766,2726993500.0,HANG SENG
36,2018-12-10,25794.949219,25845.339844,25570.890625,25752.380859,25752.380859,1544284600.0,HANG SENG
37,2018-12-11,25623.400391,25861.730469,25623.400391,25771.669922,25771.669922,1190934600.0,HANG SENG
38,2018-12-12,26054.009766,26238.730469,26013.359375,26186.710938,26186.710938,1429660600.0,HANG SENG
39,2018-12-13,26417.890625,26581.929688,26314.769531,26524.349609,26524.349609,1747235100.0,HANG SENG
40,2018-12-14,26219.0,26219.0,26061.470703,26094.789063,26094.789063,1344364100.0,HANG SENG
41,2018-12-17,26178.039063,26186.300781,26002.300781,26087.980469,26087.980469,1036879300.0,HANG SENG
42,2018-12-18,25903.980469,26152.880859,25713.5,25814.25,25814.25,1449449300.0,HANG SENG
43,2018-12-19,25860.679688,25925.990234,25784.089844,25865.390625,25865.390625,1430181500.0,HANG SENG
44,2018-12-20,25723.529297,25859.820313,25416.880859,25623.529297,25623.529297,1717860300.0,HANG SENG
45,2018-12-21,25512.300781,25805.609375,25313.75,25753.419922,25753.419922,1935298900.0,HANG SENG
46,2018-12-24,25515.400391,25651.380859,25421.429688,25651.380859,25651.380859,1074120100.0,HANG SENG
47,2018-12-27,25818.810547,25920.630859,25446.800781,25478.880859,25478.880859,1313061500.0,HANG SENG
48,2018-12-28,25502.339844,25600.25,25416.359375,25504.199219,25504.199219,1224894400.0,HANG SENG
49,2018-12-31,25732.519531,25916.230469,25682.660156,25845.699219,25845.699219,826507300.0,HANG SENG
50,2019-01-02,25824.439453,25824.439453,25055.269531,25130.349609,25130.349609,1666316400.0,HANG SENG
51,2019-01-03,25077.679688,25262.210938,24896.869141,25064.359375,25064.359375,1481291700.0,HANG SENG
52,2019-01-04,24946.119141,25626.029297,24924.730469,25626.029297,25626.029297,1708572100.0,HANG SENG
53,2019-01-07,26015.839844,26043.640625,25753.460938,25835.699219,25835.699219,1447090300.0,HANG SENG
54,2019-01-08,25852.5,25960.890625,25688.5,25875.449219,25875.449219,1578205700.0,HANG SENG
55,2019-01-09,26237.289063,26597.070313,26192.650391,26462.320313,26462.320313,2680892000.0,HANG SENG
56,2019-01-10,26391.779297,26588.210938,26212.339844,26521.429688,26521.429688,1939043900.0,HANG SENG
57,2019-01-11,26692.019531,26692.019531,26494.859375,26667.269531,26667.269531,1799353900.0,HANG SENG
58,2019-01-14,26559.679688,26575.330078,26195.779297,26298.330078,26298.330078,1426017400.0,HANG SENG
59,2019-01-15,26518.619141,26838.550781,26427.449219,26830.289063,26830.289063,1822902000.0,HANG SENG
60,2019-01-16,26702.929688,26903.779297,26567.519531,26902.099609,26902.099609,1714886500.0,HANG SENG
61,2019-01-17,26953.210938,27012.189453,26703.310547,26755.630859,26755.630859,1860541000.0,HANG SENG
62,2019-01-18,26993.439453,27116.650391,26915.080078,27090.810547,27090.810547,1692701900.0,HANG SENG
63,2019-01-21,27134.269531,27323.609375,27084.300781,27196.539063,27196.539063,1640014700.0,HANG SENG
64,2019-01-22,27189.400391,27223.699219,26854.660156,27005.449219,27005.449219,1578449700.0,HANG SENG
65,2019-01-23,26879.910156,27131.220703,26879.910156,27008.199219,27008.199219,1381999400.0,HANG SENG
66,2019-01-24,27075.369141,27120.980469,26889.789063,27120.980469,27120.980469,1323732100.0,HANG SENG
67,2019-01-25,27282.880859,27569.189453,27217.75,27569.189453,27569.189453,2264965800.0,HANG SENG
68,2019-01-28,27695.810547,27790.220703,27462.369141,27576.960938,27576.960938,1705146300.0,HANG SENG
69,2019-01-29,27397.539063,27575.369141,27328.169922,27531.679688,27531.679688,1821838000.0,HANG SENG
70,2019-01-30,27571.410156,27642.849609,27369.75,27642.849609,27642.849609,1821894600.0,HANG SENG
71,2019-01-31,27842.050781,28010.900391,27773.980469,27942.470703,27942.470703,2225282600.0,HANG SENG
72,2019-02-01,28193.279297,28193.279297,27802.5,27930.740234,27930.740234,1669716900.0,HANG SENG
73,2019-02-04,27985.419922,28005.150391,27847.429688,27990.210938,27990.210938,808061300.0,HANG SENG
74,2019-02-08,27708.130859,28008.820313,27534.199219,27946.320313,27946.320313,1527669600.0,HANG SENG
75,2019-02-11,27927.449219,28143.839844,27847.849609,28143.839844,28143.839844,1384082500.0,HANG SENG
76,2019-02-12,28093.310547,28219.589844,27983.480469,28171.330078,28171.330078,1492521500.0,HANG SENG
77,2019-02-13,28184.869141,28533.359375,28160.460938,28497.589844,28497.589844,1930777700.0,HANG SENG
